EAR,MAR,LABEL
0.2875,0.0,Alert
0.2712,0.0,Alert
0.2758,0.0,Alert
0.2758,0.0,Alert
0.28,0.0217,Alert
0.2758,0.0,Alert
0.2707,0.0,Alert
0.3005,0.0,Alert
0.2923,0.0,Alert
0.2837,0.0208,Alert
0.2845,0.0213,Alert
0.2878,0.0213,Alert
0.2924,0.0,Alert
0.284,0.0,Alert
0.2954,0.0,Alert
0.2957,0.0,Alert
0.2958,0.0,Alert
0.2617,0.0,Alert
0.0861,0.0,Alert
0.0523,0.0,Alert
0.0597,0.0208,Alert
0.173,0.0208,Alert
0.2246,0.0,Alert
0.2244,0.0,Alert
0.2502,0.0,Alert
0.2621,0.0,Alert
0.271,0.0,Alert
0.2838,0.0,Alert
0.3041,0.0,Alert
0.3034,0.0,Alert
0.3033,0.0,Alert
0.3047,0.0882,Alert
0.314,0.0881,Alert
0.3146,0.1174,Alert
0.315,0.079,Alert
0.2994,0.0,Alert
0.3074,0.0,Alert
0.3074,0.0,Alert
0.3215,0.0204,Alert
0.2888,0.0,Alert
0.2753,0.0,Alert
0.2793,0.0,Alert
0.2873,0.0213,Alert
0.2941,0.0652,Alert
0.3006,0.1108,Alert
0.3,0.1303,Alert
0.2745,0.0869,Alert
0.2983,0.1571,Alert
0.2871,0.1304,Alert
0.2788,0.111,Alert
0.31,0.119,Alert
0.3034,0.1818,Alert
0.2959,0.147,Alert
0.3038,0.027,Alert
0.2913,0.0,Alert
0.3038,0.0227,Alert
0.3038,0.0,Alert
0.2789,0.0217,Alert
0.278,0.0,Alert
0.2971,0.0217,Alert
0.2919,0.0222,Alert
